Issue,Sub-issue,Consumer complaint narrative
Getting a credit card,Card opened without my consent or knowledge,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,I bought an XXXX from Apple and was told it was an interest free purchase and they charged me interest and have from the first month I was approved for interest free Also I have a Goldman Sachs Mastercard separate from Apple even though Apple uses GS for their purchases and I feel it has compromised my credit standing and terms
Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,"I got a destiny credit card, within about 11 days they closed the account for suspesious activity, I called about it and they said they have the right to close any account for any reason, well within that 11 days that they closed my account they charged my XXXX dollars to activate the card, and then after closing the account another XXXXdollars for yearly fee, and then charged me a XXXX dollar account fee, and now they have added another XXXX dollar charge for for a return check fee that they pulled out 2 payments 1 for XXXX and some change to payoff the account and then another XXXX dollar that was over payment and they told me if I wanted the XXXX dollar back I had to dispute it with my bank, so I did and now they are trying to charge me for their mistake this is fraud don't give you a service and charge over XXXX dollars in fees that is a lot of money if they do that to everyone, this needs to be addressed and stopped, they should be prosecuted to the extent of the law, if you have any questions feel free to contact me at XXXX thank you, this is a total scam."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,XX/XX/scrub>XXXX purchase XXXX  football jersey using my PayPal credit card. I dispute because company scam me track # bogus. Called PayPal try dispute it said would. Charge went from pending to applying my account where now Im occurring daily interest on dispute account. Called again they dragging feet said still working on it
Fees or interest,Problem with fees,"On XX/XX/year> I called the Verve XXXX to close the account because of late fees ( inaccurate late fees and astronomical interest on purchases on the card ) They did not close the card and were not willing to discuss a payoff amount without interest and additional charges. This is considered predatory lending and fraudulent based on the information I have. As of yesterday, XX/XX/year> they finally closed the card but charges have been additionally placed on this card that are inaccurate - in order for us to come to payout agreement I want those charges removed. I will dispute the payment on the card until this occurs."
Getting a credit card,Sent card you never applied for,"Milestone credit card sent me a credit card I never applied for. It had a {$170.00} annual fee and a 36.5 % annual interest rate, and a {$700.00} limit. I have a credit score of XXXX and XXXX cards with limits in excess of {$10000.00} one with {$25000.00}. 

When I called they wanted my SS number I would not give it to them because I fear they are the fraudulent party. 

They assured me if I did not activate the card, which I destroyed, that I would not be charged the fee and the account would be closed. 

Now the {$170.00} appears on my credit report."
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"I did not receive promotional {$2500.00} XXXX after allowing the required XXXX - XXXX weeks after receiving the credit card. 
I have called the company on XXXX, XXXX, and XXXX, and each time was assured I would receive this promotional benefit, but I still have not, and it is well past the XXXX - XXXX weeks they promised ( I received the card on XXXX ). 
This promotional benefit was the only reason it was worth paying the annual fee for this card ( and the whole reason I applied for it ). If I don't receive the "" {$2500.00} XXXX XXXX '' promotion by XXXX, it is useless as XXXX are calculated on an annual basis and this promotion significantly impacts my XXXX total/status."
Closing your account,Company closed your account,
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Can't close your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,Gm Mastercard services aka Goldman Sachs misled its cardholders and didnt disclose they can reduce your credit limit by over half over night. They didnt say a late payment would result in a loss of credit limit in the contract. And wont provide me with my valid signature on a contract. As soon as the balance was paid the credit limit was reduced by more than half. I tried to close the account down and the company refused. Stay far away from these shady bait and switch tactics.
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Delay in processing application,
Fees or interest,Problem with fees,
Getting a credit card,Card opened without my consent or knowledge,"XXXX XXXX  ( XXXX XXXX XXXX XXXX ) in the amount of {$2200.00}, account opened XX/XX/year>. I am requesting that this item be removed as I am the victim of identity theft."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"A new credit card was mailed to me on XX/XX/2024. I never received this credit card. 

On XX/XX/2024, XXXX purchases were made with this credit card ( the one I have not received, which I suspect was intercepted during the mailing process, or taken from my mail box ). Both posted on XX/XX/XXXX ( please see attached ). 

XXXX purchase is for {$450.00} at XXXX XXXX XXXX and Liquor and the other is for XXXXXXXX XXXX and Liquor for {$450.00}. Separate purchases but both ON THE SAME DAY. ( I also want to mention that if you go back into my account history, you will see that I have never bought alcohol ). 

I called Bank of America on XX/XX/2024 to file a claim. The reason I found out about these fraudulent charges was because I received a text message from Bank of America asking me if a charge to another merchant, XXXX XXXX, was being made by me. I replied "" no '' and then checked my BofA credit card account to see someone had made the purchases for alcohol. I made a fraud claim with a customer service rep. They also sent me a new credit card, which I actually received this time. Both charges were credited to my account while they investigated. 

I did not receive any correspondence about my fraud claim until XX/XX/XXXX, when I got a message from BofA stating : "" We confirmed your card was used for the charge ( XXXX ). The chip was read, your PIN was entered, and/or you signed for the merchandise or service, which indicates you or someone you allowed to use your card was present. '' With these allegations, I have questions : XXXX. Did the merchant require ID from whoever was purchasing this alcohol? If so, you will see it was not me. 

XXXX. How was a PIN entered if, when designating a pin for your credit card, you need to verify information over the phone? Whoever had my card would not know my birthdate, XXXX etc. to verify it was me establishing a pin number. 

XXXX. If the merchant only required a signature for the purchase, I want to see that signature- I have XXXX years of checks in my XXXX debit account that can verify my signature. Because I never received this credit card, and IF a signature was used for these purchases, you will find that they DO NOT match my signature. 

Today, XX/XX/2024, I called Bank of America to ask why the claim was refused and if they could send me the documents detailing what led them to believe I or someone who has authorized access to my card, made these purchases. The BofA representative said she would look to see what documents were available and after being placed on hold, she returned and said, "" There are no documents from the merchant here. '' She then said she would re-open my case and I would receive a notice from BofA detailing their decision with documents. But the rep told me THERE ARE NO DOCUMENTS from the investigation. And the fraudulent charges have now been placed back on my credit card."
Fees or interest,Unexpected increase in interest rate,
Fees or interest,Charged too much interest,
Getting a credit card,Delay in processing application,"Subject : Formal Complaint Regarding Capital One Account Suspension and Lack of Written Response Dear Consumer Financial Protection Bureau, I am submitting a formal complaint regarding Capital Ones handling of my account suspension and their lack of communication following my submission of required documentation. 

On XX/XX/year>, I uploaded all the requested documents through the secure channels provided by Capital One to resolve an account suspension issue. Despite complying fully with their request and providing the necessary documents, my account remains suspended without any explanation. I have made multiple attempts to obtain a written response from Capital One, but I have not received any clarification or guidance regarding the reason for the ongoing suspension. 

I am concerned that Capital One may be unjustifiably prolonging the suspension or attempting to force the closure of my account, which could negatively impact my credit score. I am also concerned about potential discriminatory practices. I am requesting that the CFPB investigate this matter and ensure that Capital One provides the necessary information and resolves this issue in a timely manner. 

Thank you for your attention to this matter."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Fees or interest,Problem with fees,
Fees or interest,Problem with fees,"My ex wife was able to change my account info using her phone number XXXX, causing me to be late and fees added to my account that she is not on. US Bank verified over phone she did this as I taped the conversation with 2 different agents. She is causing my credit score to drop as well as missing payments as she would of been alerted to her phone. This never should of been allowed as US Bank is responsible for this matter and need to go after her for the charges and put my credit back in good standing. 

US Bank case number XXXX"
Fees or interest,Charged too much interest,
Fees or interest,Problem with fees,"Capital One has charged me late fees of around {$35.00}. This is over the legal limit of {$8.00}. 

They changed me these as recently as XXXX of XXXX, which is well beyond when the new {$8.00} law was implemented."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Problem with fees,"I discovered that I have been charged monthly interest on a cash advance on XX/XX/year> using my American Express card. American Express charges interest on cash advances, and this interest will continue unless the amount shown on the monthly statement is paid in full. Unfortunately, autopay will not pay the statement amount in full since it first applied any credit ( e.g. from a return or other credits ). Even though autopay will pay off the account to zero balance, the system doesnt consider the payment made in full, and will continue to charge interest on the cash advance. Unless you pay the printed amount on the monthly statement, there is no way to pay the cash advance in full. The only way to pay off the cash advance is to suspend autopay and pay the printed amount on the statement, which means using autopay ( or an online balance due ) ensures a charge in perpetuity. There is nothing on the statement that refers to cash advance ( in fact the statement simply says that autopay will deduct the full printed payment amount ), and there is no way to know this is happening when you have autopay. I spoke with someone at American Express who agreed that this is not right. They have reversed the interest charges on my account and have filed an internal complaint. I am bringing this to your attention because I feel it is an issue that should be corrected - and not only for those who complain. American Express should fix the autopayment so that it covers any cash advance first before applying any credits."
Getting a credit card,Card opened without my consent or knowledge,"To whom it may concern, Please remove this account from my credit report. 
I did not authorize anyone to open this account in my name This is a fraudulent account.."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"My XXXX account was stolen and was placed an order in XXXX store for a Pixel XXXX XXXX on XX/XX/year>, and was paid for with my associated Discover credit card. The total transaction was {$500.00} including tax. Because my XXXX account was stolen, which includes XXXX, so I guess the order confirmation and receipt email was immediately deleted so I got XXXX notice of the transaction. I only found out about the transaction when viewing my Discover credit card statement later when trying to pay the credit card. I immediately disputed the charge with XXXX twice, but XXXX refused to refund me twice. Then I disputed the charge through Discover credit card, and once again, Discover refused to refund me. 
Throught the process, my account was somehow stolen and the purchase was done completely without my permission or knowledge. I have never shared my XXXX account or Discover credit card with any other person. My account was stolen because of the poor security measures by XXXX, so XXXX should refund me the money that I did not spend. Also, I believe Discover should honor their promise to refund any unauthorized charges."
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I made a reservation for a rental car through XXXX and paid {$210.00} for the rental of a XXXX XXXX car from XX/XX/XXXX to XX/XX/XXXX using my XXXX XXXX credit card. 

When picking the car up I had to provide a credit card for the deposit and I provided my Barclays XXXX XXXX XXXX  card. XXXX advised us that the car which we had booked was unavailable but that they could provide a replacement. Instead of XXXX XXXX the replacement would be XXXX XXXX. After returning to car on XX/XX/XXXX, XXXX charged us another {$210.00} After we complained they refunded {$53.00} but not the complete amount of {$210.00} We provided evidence to Barclays showing that the car was already prepaid and received a response saying that Services were rendered and the merchant is due payment without addressing the fact that the service had been prepaid through XXXX."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Getting a credit card,Delay in processing application,"Subject : Complaint Regarding Total Visa Credit Card Application Process. 

To Whom It May Concern, I am writing to file a formal complaint regarding the application process for the Total Visa credit card. Below are the details of my experience : Date of XXXX : XX/XX/year> Details of the Incident : XX/XX/year>. 

1. Application Submission : I submitted an application for the Total Visa credit card on XXXX XXXX. Following the submission, I was asked to provide additional documentation to verify my identity, including my ID, bank statements, and utility bills. 

2. Status Check : After submitting my application, I attempted to check the status online but was unable to do so as I did not have an application ID. Consequently, I called customer service and spoke with a representative named XXXX. 

XXXX. Customer Service Interaction : During my call with XXXX, I provided my Social Security number for verification. However, XXXX informed me that she could not locate my application. Instead, she mentioned seeing information from a collection agency, which was unrelated to my application. 

4. Supervisor Interaction : I requested to speak with a supervisor multiple times. XXXX kept returning without connecting me to a supervisor. Eventually, she connected me to a supervisor who refused to provide my application ID, stating that my application was under review. This refusal raised my suspicions and concerns about the transparency and integrity of the process. 

XXXX. Request for Application ID : I specifically requested the application ID to facilitate easier status checks and communication when calling in. Despite this, both XXXX and the supervisor refused to provide the application ID. XXXX had initially asked for the application ID to look up my application, which I did not have because it was not provided to me in any correspondence. This refusal further complicated my ability to follow up on my application status. 

XXXX. Request to Withdraw Application : Due to the lack of transparency and the refusal to provide my application ID, I expressed my desire to withdraw my application. The supervisor did not address my concerns adequately, further eroding my trust in the process. 

Additional Concerns : I am particularly concerned about the potential sharing of my personal information with a collection agency. I do not want Total Visa to share any information related to my application with any collection agency. Given that I submitted sensitive documents such as my bank statements, ID, and proof of residence, I am worried that this could lead to the collection agency discovering my new address, which they are currently unaware of. 

**Desired Resolution : ** I request the following actions to resolve this issue : - A thorough investigation into the handling of my application and the conduct of the customer service representatives involved. 
- Clear communication regarding the status of my application and the provision of an application ID. 
- Assurance that my personal information is secure and has not been mishandled. 
- Confirmation that no information related to my application will be shared with any collection agency. 

I appreciate your prompt attention to this matter and look forward to your response. 

Sincerely, [ XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  XXXX-"
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,
Fees or interest,Problem with fees,
Closing your account,Can't close your account,"I have a credit card from TD Bank to purchase specifically XXXX products ( XXXX XXXX ). I have called them multiple times to request that they close my account but they 1-Never answer the phone at the phone number provided on the website. 2- They keep me on hold every time for over 2 hours and I end up hanging up because I have a life to tend to and can't spend my days on the phone waiting for them. I have also called other phone numbers for TD Bank, their customer service, but they keep transferring me to the same number listed on the website, which is never answered. A message states that they are receiving high volume of calls, but I have called at different times of the day, including in the XXXX  of the night, and the message is the same. I don't believe the entire world is calling TD Bank all day and all night."
Getting a credit card,Card opened without my consent or knowledge,I have credit cards opened in my name that I did not authorize. My birthday is wrong on my credit report. I just turned XXXX last XXXX.
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"We have been loyal Chase customers for years now and always pay our balance in full each month so as not to accrue interest. We were offered a {$15000.00} "" balance transfer '' offer at 0 % for 10 months. We spoke with a rep at Chase Bank on XX/XX/year> who said that if we take the offer, our card would work the same as it does now and then we would have a separate section of the site to pay toward our {$15000.00} balance. That offer was authorized over the phone on the same on day on XX/XX/year>. Instead, the balance transfer balance was lumped into our total card balance. Today, XX/XX/year>, a supervisor at Chase has told us that since we accepted the balance transfer offer we have now foregone our 21-day grace period to pay our normal credit card purchases without accruing interest. This was never explained over the phone, nor was it in any written communication that we received about the balance transfer offer. We did not receive any written communication about the balance transfer offer until XX/XX/year>. The document provided was a 1-page document that makes no mention of a loss of the grace period. After having our case escalated to a manager and explaining that there was no mention of these terms, the manager at Chase bank hung up on us. This offer was used as a way for Chase to claim that they now have the right to charge us daily interest on our normal credit card purchases even if they're paid by the statement due date. The expense for our wedding caterer went on the card for the billing cycle in question. Chase is now trying to charge us interest on major expenses when these terms were never disclosed anywhere in their fine print or over the phone."
Getting a credit card,Card opened without my consent or knowledge,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I was charged {$500.00} by "" CHASE HOME XXXX XXXX XXXX  '', which was a commitment fee for a mortgage. The issue I have is that Chase told me in writing that the mortgage loan I applied for would have one set of terms, and they significantly changed those terms after I had paid the fee. I consider this to be fraudulent, and when I asked for my fee to be refunded, the Chase mortgage representative at the local bank stopped responding to my messages altogether.

I then contacted Chase card services to open a dispute. I was asked on four separate occasions to call them to provide more information. At no point did Chase open a dispute, conduct an impartial investigation, or provide a temporary credit to my account. At all times, the representatives seemed confused and did not understand what I was disputing.

I was ultimately told that Chase card services would not open a dispute and would not provide a credit for the {$500.00}. It is deeply concerning that Chase would not even open an impartial investigation, never mind conduct one, when I was disputing a charge from another part of Chase."
Fees or interest,Problem with fees,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,On XX/XX/XXXX I ordered a piece of luggage from XXXX using my BOFA credit card and then decided to use XXXX to spread out the payments .The next day I realized that both myself and my partner will be out of town and that there will be no one to sign for the {$3000.00} piece of luggage. The next morning I was calling and emailing XXXX trying to cancel the order but no one was picking up and no one returning voice mail. I finally got someone late in the day to pick up the phone so I was able to cancel the order and the guy even put a return to sender on the XXXX label just in case. I waited a day and then disputed the charge on my BOFA card. Everything was taken care of until 30 days later when BOFA said the merchant disputed my claim even though I had sent BOFA a copy of the email saying order was cancelled. BOFA on XX/XX/XXXX paid them again {$760.00}. Then on XX/XX/XXXX XXXX said they were sending me a refund for {$790.00}. I never received the refund and now they are saying I was sent a refund of around {$28.00} which was only part of the order refunded ( luggage label ) but that I would not be getting any more even though I paid them an additional sum of {$760.00} on XX/XX/XXXX.
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Company closed your account,
Getting a credit card,Application denied,
Getting a credit card,Application denied,"I applied to XXXX XXXX XXXX XXXX XXXX and my application was immediately denied. I called them and they said my application was denied for the following reasons : * Ration of credit bureau trades with a balance greater than XXXX ( We look at the ratio of open and closed credit accounts that have a balance greater than XXXX in the last 6 months ) * Number of revolving bankcards reported by credit bureau ( We look at the number of bank credit cards in your bureau report ). 

I checked my XXXX credit report and it did not show any credit trades for the last 6 months. I have 7 credit cards with an age between XXXX XXXX XXXX years and I use 3 credit cards with a 4 % credit utilization. When I applied to this credit card I had a score of XXXX and I make over $ XXXX a year. 

I think Wellsfargo denied my application because they don't want people who pay the whole balance at the end of the month because it '' s not profitable for them."
Getting a credit card,Card opened without my consent or knowledge,My information was heisted and this accounts are fraudulent and do not belong to me. I would like these accounts completely removed from all three credit bureaus on my credit report.
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Application denied,"Applied XX/XX/year> Dear Sir/Madame, I am writing to dispute adverse action taking against n my credit report and request that you open the accounts I have extended credit. I believe there is a misunderstanding of my rights and law governing credit transactions as original card holder and holder in due course I exercise my right to initiate the consumer transaction with your company. Pursuant federal law 15 USC 1602 ( I ) The term credit card means any card, plate, coupon book or other credit device existing for the purpose of obtaining money, property, labor, or services on credit, which I granted your corporation. I am well aware of my rights as a consumer and the credit is the right granted to me by a creditor, per 15 USC 1602 ( f ). Reporting to a consumer reporting agency is voluntary as per the CFPB and I have not received any benefit from the use of my credit in fact the denial of my right to extend credit has not only caused me financial but also mental distress. Discriminating against an applicant in a consumer credit transaction is unlawful pursuant 15 USC 1691. I demand your company reconsiders this matter and complies with federal law. Please open the accounts for which I have extended credit and correct any adverse action taken on my credit report. I take my consumer report and credit matters seriously. I hope this matter can be handled admissibly and promptly. Failure to address this dispute properly may lead to further legal actions. Thank you for your immediate acts, timely response and immediate resolution at this matter as expected. Also my right to privacy was violated during a recorded phone call with employee XXXX or XXXX when I asked for underwriting contact information she proceeded to access my private information without expressed permission. 

Sincerely, XXXX XXXX XXXX : XXXX"
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"In XX/XX/year>, I applied for the Amex XXXX XXXX XXXX card. After meeting all the requirements for an open account welcome offer, I didn't get it. 

Now, Amex is telling me they are not giving me the offer because they declined the offer during my application process. However, I didn't see anything when I was opening the account. 

This is the first Amex XXXX XXXX XXXX I have ever applied for, and I have never closed any Amex card."
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"This complaint is about a case that was closed by you. CASE # XXXX XXXX / Care Credit Acct. # ending in XXXX You contacted them and they responded with a letter. They stated in the letter that they did all the things I complained about. when I called the phone number ( XXXX, ext. XXXX ) provided "" I welcome the opportunity to assist you. Respectfully, XXXX XXXX XXXX  XXXX ''. 
No one by this name picked up and I was prompted By another name to leave a message 5 times. I wanted to ask for proof. I think they believe that I am a fool and so are regular government agencies. I would like to know if you received the letter that they cc : Consumer Financial Protection Bureau."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Application denied,I XXXX XXXX applied for a credit card and got denied several times Due to USC 1691 and CFR 1002 You cant be denied credit due to credit score or credit history or income. Anyone adverse actions in a consumer credit transaction is illegal. I would like to access my unlimited credit thank you.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,This is a chargeback account that being dispute and the merchandise has been returned but the merchant refuses to correct the account.
Getting a credit card,Card opened without my consent or knowledge,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"Chase Amazon Prime Visa. States 0 % interest rates on certain purchases that offer promotion. They employ deceptive practices along with Amazon hiding check boxes to enable promotional interest. Then proceed to charge you the rates claiming you did not enable the promotion. I purchased from Amazon the XXXX XXXX XXXX XXXX power station. With 12 month 0 % APR. on XXXX XXXX. I was not charged an interest rate on my first statement on XX/XX/year>, i made my payment on time but then the following month I was charged. {$6.00} on my XX/XX/year> statement and then {$4.00} on my XX/XX/year> statement. I then called customer service. Where it becomes very difficult to get a representative to talk to about the issue. They employ a voice automated service that doesn't give you the option to reach someone until you've been on the line for about 15 minutes trying to get a hold of a human representative. Who then tries to manipulate the the conversation into stating that the option to receive the promotional rate was not enabled by the buyer when it was. But both Amazon and chase are colluding into making more money with deceptive practices."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"XXXX XXXX  ( known as Elan Financial Services ) introduced XXXX feature more than 6 months ago. As a customer, I was aware of this and was keeping it in mind in case I needed it in the future. Elan Financial Services has been regularly sending emails emphasizing this new feature. Particularly, on XX/XX/XXXX and XX/XX/XXXX, they sent out such emails indicating, again, that XXXX was available for my account, with offers ending on XX/XX/year> and XX/XX/year>, respectively. For brevity, I'm not including emails from XXXX and XXXX XXXX  here. 

I made a transaction that was less than 20 % of my credit limit on XX/XX/year>. With this, I still had close to 80 % of my credit limit available. Based on the Elan Financial Services emails, this transaction was falling under the XXXX offer in terms of a ) when it was made, b ) what their promotional emails were claiming and c ) the "" fine print ''. 

However, when I tried to enroll this charge to XXXX online, this was not possible because of "" XXXX isn't available for this account right now. '' message. On the other hand, on the "" Set Up ExtendPay '' website on my account, it was displayed - as it was supposed to be - "" Available for XXXX : $ XXXX '' ( $ XXXX is the amount I wanted to enroll in ExtendPay ). Because I wasn't able to enroll the transaction in XXXX, Elan Financial Services has started to charge interest on that amount. 

That's misleading information that falls under the category of bait-and-switch. Upon trying to reach out to them, my emails went into the abyss - no response. Putting customers after the fact is disgraceful and illegal. It violates several other federal and state laws and regulations."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"Company : Bestbuy XXXX Citibank XXXX credit card. 

"" credit life insurance fee '' I have been charged monthly for a "" credit life insurance fee '' I had auto pay and never looked at the statement. as it was a small fee every month compared to the over all debt. I did not notice it. 

however, when disputing another charge today I noticed this fee and saw them on all statements. when I called Bestbuy/citibank. they said that I have been charged this since I opened the account 12 years ago. when all totaled up its roughly {$4000.00}. I asked Best Buy/citibank to cancel and dispute previous charges and they informed me to contact the insurance company directly because they can't do anything from their side. Citibank was asked to give XXXX back to customers. I did not receive anything."
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"Citigroup , Inc. ( "" Citi '', the "" Company '' ) continues to send unrequested and unwelcome advertising and propaganda by mail and email, even though I have informed the Company of my information being registered on XXXX, a site owned by XXXX XXXX XXXX XXXX in compliance with the Fair Credit Reporting Act ( "" FCRA '' ). The Company violated in numerable times dispositions that protect consumers of having their information used and shared with affiliates for the purpose of offering propaganda, even after informing the Company NOT to do so, and informing the Company of the opt-out registration, actions contrary to what's stated and protected under FCRA. 

I am humbly requesting this agency to assume jurisdiction on these matters."
Fees or interest,Problem with fees,
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,This credit card XXXX has supposedly been closed with each fraudulent transaction reported the last XXXX years. They state it will be closed and a new card will be sent. I have requested no further cards sent. I have gone through XXXX cards since then that have been charged and I reported as fraud. And now I have spoken with their supervisor XXXX XXXX regarding all this and she informed me that the late fees I have to pay because of a fraud report was not taken care of properly. I have also closed checking and savings accounts and I have informed her that I will not pay because it is their responsibility. I still think they are covering someone in the system.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Application denied,
Closing your account,Company closed your account,"From the Date of XX/XX/year> to XX/XX/year>, my banking account was close along with credit cards of Capital One. I had fair credit but the banks didn't like me you using peer to peer services like XXXX  or XXXX. 

My accounts of XXXX XXXX XXXX and XXXX XXXX XXXX was in good standings. The other accounts credit cards close to max out. 

I think it was some type of discriminative decision making going on with the closing of my Capital One 360 and Credit Cards. Someone target my name and information may had be seen from a representative that hates me personally."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Problem with fees,"Made pay-in-full payment 1 day late. Discussed with Amex customer service; was told that with our XXXX year history of paying balance in full every month, they would offer XXXX courtesy correction on XX/XX/XXXX. They did not indicate any interest charge during that call. XXXX month later, noted on bill that XXXX set of charges {$540.00} interest covers remaining statement balance from XXXX statement closing date up to XX/XX/XXXX due date ; then XXXX set of interest charges of {$280.00} interest is from XX/XX/XXXX due date up to XX/XX/XXXX pay in full date. The concern is that the Amex representative did not disclose that we were incurring any interest following the one-time courtesy correction. It was then hidden from our view, paying the amount in full at that time ( i.e., they charged us for interest over a XXXX  day period for payment that was rec 'd in full XXXX day late."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Charged too much interest,This company preyed on XXXX Spouse. By not knowing the law in accordance to the Military Lending AcXXXX. The lender/Institute persuade the spouse into signing for the credit with High Interest rate over 36 % in violation of the Military Lending Act. The Institution is called American First Finance. They never respond to me regarding this unfair Lending that destroyed my XXXX  career at this moment.
Closing your account,Company closed your account,"My 3 credit cards ending in XXXX, XXXX, and XXXX were closed by Wells Fargo without just cause. I had fraud charges on my account when I was on an XXXX XXXX  in XXXX. Wells Fargo advertises a zero fraud liability on their credit card accounts. Wells Fargo would not give an exact reason for the account closures and I called 3 times asking why no letter has been sent to explain why the accounts were closed. This is abusive to me as a customer and against Wells Fargo 's policy. Even though Wells Fargo did not specially state the reason for the account closure is due to the fraud that was on the account, i know this is the reason they decided to close it. Due to Wells Fargo 's terrible decision making, my credit score has suffered and went down more than XXXX points due to my total available credit amounts being lowered and my average age history of my credit cards being less. I have been a Wells Fargo card holder for more than 6 years. I would like the accounts reopened and at the very least my credit reports fixed. Wells Fargo 's decision is negatively impacting my life and my interest rates when applying for loans has now been raised due to these 3 Wells Fargo Credit Cards being closed."
